Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Libya,LBY,11308.5666057964,14396.0486485106,10296.9735275996,12120.5621692062,5602.54943425492,13209.1407809781,10571.8507632837,6631.52904725951,4695.2730939977,5125.67528336766,7998.02881906883,
St. Lucia,LCA,7636.49603168277,7577.20959347245,7384.85930118585,8007.69648429285,8270.54175764425,8218.05321207615,8481.89052082938,8796.69108007004,9306.35886837708,9364.82152461143,9574.30249578155,
Latin America & Caribbean,LCN,6861.16968929983,7874.25657205767,7307.88139368218,8954.19819302655,10062.8442785852,10047.0907170433,10176.5101104786,10258.3674339686,8723.02670884091,8406.71581061248,9244.40759700331,
Least developed countries: UN classification,LDC,579.643087068929,705.746937393186,703.251195404408,779.383568243235,871.917779762747,904.201126709466,958.896926432956,1011.20897808714,970.423910856363,949.237733488829,1060.00778889814,
Low income,LIC,490.255084877238,579.243888354156,592.078305491873,628.509570516666,694.939014721889,733.572011155157,780.31615389204,817.052991113301,761.645110283475,702.750493157562,750.433044360923,
Liechtenstein,LIE,130267.243270796,142973.83089993,125945.00962441,141165.082856705,158283.076259582,149295.646043634,173528.150454463,179308.075615568,168146.015281103,,,
Sri Lanka,LKA,1633.00836904152,2041.29065505703,2095.53147595189,2808.54596562183,3213.87453874078,3350.61103586406,3609.14289485496,3820.67818475378,3842.16385988701,3857.39636324977,4065.22487411082,
Lower middle income,LMC,1201.15047155535,1327.74116116727,1341.67234932969,1675.12656106051,1867.69045420345,1927.65573946659,1978.60317575544,2051.22042561815,2003.50180026326,2059.58486067189,2188.00430499814,
Low & middle income,LMY,2562.51580280968,3034.6168321539,2929.00247219933,3530.08872088937,4112.27346427435,4332.95953720525,4534.80746369509,4648.93361539711,4333.70502795329,4299.17384090974,4654.58347937862,
Lesotho,LSO,918.540696236012,935.394139075698,924.105932063372,1169.26784178666,1350.67765339316,1281.62055793461,1193.00420021422,1218.47109398034,1152.31679631028,1039.70330251141,1181.81175872882,
Late-demographic dividend,LTE,4373.85541299497,5404.49778816595,5191.82186598922,6191.21276068519,7504.63348116831,7979.29920070313,8551.16196070215,8805.48555247287,8203.44179816142,8155.01292748305,8977.54185182393,
